crop_type,soil_ph,nitrogen,phosphorus,potassium,moisture_pct,recommended_fertilizer
cotton,5.45,73.7,34.0,50.4,57.8,Compost
wheat,6.41,10.0,57.4,8.0,43.1,Compost
sugarcane,5.3,73.2,31.8,73.5,66.0,Compost
rice,6.64,90.2,22.2,46.9,62.7,DAP
sugarcane,5.52,123.2,12.4,70.4,63.4,Compost
sugarcane,6.67,99.1,59.9,8.0,64.5,MOP
wheat,6.87,105.0,40.8,43.6,76.7,NPK
cotton,6.44,139.1,32.7,41.9,47.0,NPK
maize,5.85,19.7,40.8,34.9,79.9,NPK
rice,6.89,134.0,28.9,32.7,35.2,NPK
maize,6.02,35.8,46.8,65.3,62.2,Urea
cotton,5.42,145.6,53.6,47.9,31.5,Compost
wheat,5.3,136.2,28.9,56.3,31.0,Compost
maize,5.55,165.9,33.4,24.5,70.9,Compost
rice,8.07,120.4,54.5,77.8,83.8,Compost
cotton,7.49,42.9,70.1,77.2,95.0,Urea
wheat,5.93,79.3,44.6,46.3,80.2,NPK
cotton,5.97,56.3,64.5,33.1,22.2,Compost
cotton,6.89,60.3,44.1,30.0,66.0,NPK
cotton,6.42,93.4,8.1,50.3,49.7,DAP
cotton,5.74,136.3,25.3,69.5,92.5,NPK
wheat,6.52,62.8,77.0,22.3,52.7,MOP
wheat,8.43,28.2,43.8,53.3,66.8,Compost
sugarcane,5.69,133.7,75.5,75.6,59.4,NPK
wheat,7.33,63.2,48.0,73.3,59.9,NPK
rice,5.94,42.3,31.8,57.0,28.3,Urea
cotton,6.9,108.2,59.7,41.8,64.2,NPK
wheat,7.91,88.0,66.9,8.0,91.3,MOP
cotton,4.6,14.0,50.6,54.7,54.0,Compost
maize,6.35,122.7,78.5,51.6,26.9,NPK
maize,5.07,157.1,51.7,85.8,67.6,Compost
wheat,7.08,61.1,24.1,24.6,25.3,MOP
maize,6.7,163.0,61.5,40.6,79.1,Urea
sugarcane,5.87,94.5,17.3,12.1,39.4,MOP
wheat,6.69,118.1,49.4,64.1,39.6,NPK
maize,6.39,173.1,63.0,73.7,53.1,NPK
wheat,7.39,133.6,61.3,49.0,67.0,NPK
wheat,5.47,131.4,77.8,48.3,53.8,Compost
maize,6.19,94.8,8.8,53.2,32.8,DAP
cotton,6.91,152.8,30.0,61.4,50.4,NPK
sugarcane,6.43,48.4,36.0,70.6,30.0,Urea
cotton,6.62,86.9,24.2,24.2,46.4,MOP
rice,6.75,72.9,62.3,78.9,69.0,NPK
maize,6.24,101.2,48.5,52.2,95.0,NPK
cotton,6.31,68.4,39.9,35.7,72.1,NPK
sugarcane,5.64,98.5,75.6,23.3,70.7,MOP
wheat,6.97,147.1,5.0,28.7,73.3,MOP
wheat,5.89,117.4,67.4,15.7,20.6,Compost
sugarcane,6.67,55.1,22.1,21.4,41.3,MOP
rice,4.76,128.8,25.1,25.8,28.4,Compost
sugarcane,6.84,64.0,44.6,33.9,67.1,NPK
cotton,6.58,91.8,49.6,76.4,70.3,Urea
sugarcane,6.98,79.9,72.1,29.8,40.9,MOP
sugarcane,7.86,81.3,44.5,54.7,72.6,NPK
wheat,7.11,112.0,13.5,8.0,58.2,MOP
wheat,6.85,41.3,51.2,29.2,69.9,NPK
rice,6.23,44.7,44.0,43.3,75.9,Urea
cotton,6.37,92.4,100.0,27.8,22.1,Compost
maize,7.28,71.9,21.8,17.2,73.2,MOP
maize,5.66,77.9,30.8,40.3,61.6,NPK
rice,6.16,74.9,66.6,48.0,45.5,NPK
sugarcane,7.42,107.8,24.4,14.7,50.0,MOP
rice,5.62,87.6,22.9,60.8,46.0,DAP
cotton,6.2,64.3,46.8,14.4,55.9,MOP
rice,5.56,122.5,20.9,46.3,37.4,Compost
wheat,6.8,171.3,23.6,72.6,57.6,DAP
cotton,6.6,66.2,69.6,59.8,73.7,NPK
maize,7.37,102.2,5.0,8.0,52.5,MOP
sugarcane,7.61,145.3,5.0,35.1,54.0,DAP
maize,7.31,55.4,38.6,25.9,23.0,Urea
cotton,6.08,50.3,73.7,71.7,53.5,Urea
sugarcane,7.72,10.0,22.4,8.0,82.8,NPK
rice,6.28,100.3,17.8,38.1,46.3,DAP
wheat,6.96,58.3,19.3,32.5,61.2,NPK
wheat,7.46,121.5,58.6,42.3,69.2,NPK
sugarcane,7.45,57.3,58.9,41.4,40.9,NPK
wheat,7.2,97.0,50.4,52.4,47.3,NPK
sugarcane,5.35,74.1,52.6,64.2,35.9,Compost
cotton,7.53,116.4,38.0,15.2,24.2,Compost
sugarcane,6.21,60.8,16.8,71.5,50.6,DAP
rice,5.78,53.1,23.2,59.9,72.7,Urea
cotton,8.37,63.9,14.2,56.4,27.8,Compost
maize,6.68,40.9,40.4,8.0,35.4,NPK
sugarcane,6.92,10.0,60.6,65.4,85.7,Urea
rice,6.68,86.9,57.1,55.0,53.5,NPK
cotton,6.01,111.8,65.2,31.9,52.3,NPK
cotton,5.95,126.8,73.6,88.3,44.4,NPK
wheat,6.32,53.6,47.1,71.7,46.2,Urea
sugarcane,5.65,35.8,15.7,45.1,60.4,DAP
sugarcane,7.69,43.5,28.2,20.1,52.0,NPK
wheat,6.76,19.8,24.8,18.7,69.1,NPK
cotton,7.63,70.0,55.6,48.6,51.3,NPK
cotton,5.3,127.6,67.9,61.4,75.5,Compost
maize,6.9,106.4,60.8,44.3,46.1,NPK
cotton,7.49,97.6,55.1,86.5,60.1,NPK
cotton,5.16,10.0,20.3,44.7,38.0,Compost
sugarcane,5.63,88.7,42.4,110.0,45.0,NPK
sugarcane,4.6,104.0,50.6,43.3,49.4,Compost
sugarcane,6.07,88.5,58.4,57.7,49.7,Urea
cotton,5.77,142.5,35.8,8.0,21.9,Compost
cotton,6.87,115.1,25.6,99.8,70.1,NPK
maize,6.01,83.0,66.3,69.6,21.6,Compost
wheat,6.14,52.0,44.8,57.0,61.8,Urea
maize,7.24,200.0,86.7,24.0,62.3,MOP
cotton,5.44,114.4,43.8,62.8,33.3,Compost
wheat,5.7,132.6,48.0,32.4,60.5,NPK
cotton,5.85,49.5,22.6,13.1,34.8,NPK
cotton,6.1,154.6,36.9,43.2,34.4,NPK
wheat,6.69,138.5,18.9,78.1,34.5,DAP
maize,6.77,108.4,26.3,59.7,74.3,NPK
wheat,6.58,92.7,64.7,8.0,59.7,MOP
rice,6.0,32.0,65.6,39.5,49.3,Urea
wheat,5.88,62.2,5.0,59.9,62.8,DAP
wheat,5.92,135.2,14.9,45.0,62.9,DAP
sugarcane,6.73,90.6,11.5,42.1,55.3,DAP
rice,5.74,29.1,71.4,39.2,48.6,Urea
sugarcane,6.97,12.3,9.1,51.1,26.5,DAP
wheat,5.82,95.3,25.5,8.0,33.4,MOP
sugarcane,6.97,107.6,24.9,8.0,42.3,MOP
sugarcane,6.81,63.5,50.9,72.4,40.3,NPK
sugarcane,5.18,123.5,81.4,63.3,39.2,Compost
maize,6.16,76.7,66.3,25.3,68.2,MOP
maize,5.52,26.8,52.2,53.4,44.7,Compost
wheat,7.88,35.0,42.9,20.6,64.4,NPK
rice,6.3,81.3,64.1,8.0,27.2,MOP
sugarcane,5.39,110.7,50.9,49.0,53.5,Compost
rice,7.55,57.8,31.9,24.3,29.2,MOP
cotton,6.8,99.3,11.7,47.7,54.2,DAP
rice,6.26,89.0,37.6,26.2,59.2,MOP
wheat,5.49,103.4,71.0,68.3,40.3,Compost
rice,7.3,77.7,49.9,57.6,32.1,NPK
wheat,5.98,92.5,56.6,8.0,56.3,MOP
maize,7.42,30.0,89.4,78.2,59.8,Urea
rice,6.72,75.8,55.8,63.2,61.1,NPK
maize,7.51,107.4,26.2,42.7,45.2,NPK
maize,6.03,74.7,20.2,16.4,72.9,MOP
maize,5.99,87.2,63.0,55.6,69.0,NPK
maize,6.32,76.1,32.9,82.6,48.5,NPK
sugarcane,6.81,149.4,19.0,46.5,62.1,DAP
maize,5.14,76.4,42.3,31.1,88.2,Compost
rice,7.33,66.6,89.1,50.3,73.2,NPK
wheat,5.79,20.0,5.0,58.7,49.7,DAP
maize,6.43,96.8,29.2,78.4,35.5,NPK
rice,5.79,66.7,43.5,80.9,66.0,NPK
cotton,7.51,71.6,5.0,19.9,67.3,MOP
wheat,5.67,156.1,56.6,8.0,52.0,MOP
wheat,5.19,91.9,32.9,71.2,35.6,Compost
rice,4.95,89.5,45.7,40.6,84.0,Compost
sugarcane,5.57,150.7,79.5,50.5,24.8,Compost
wheat,6.68,58.1,20.8,38.0,72.8,DAP
sugarcane,5.51,102.4,26.9,16.1,35.4,Compost
cotton,7.1,40.6,32.0,61.6,27.6,Urea
maize,6.79,81.4,57.5,58.9,58.3,NPK
cotton,5.87,98.1,62.0,65.9,55.2,NPK
sugarcane,5.17,113.4,66.2,53.3,25.2,Urea
sugarcane,6.36,116.5,30.7,60.8,64.0,NPK
wheat,6.62,91.6,32.8,84.3,72.9,NPK
wheat,8.34,34.1,66.2,38.0,95.0,Compost
cotton,6.82,84.0,17.4,66.8,72.5,DAP
sugarcane,4.93,50.8,36.3,44.7,20.8,Compost
wheat,6.34,46.3,47.9,40.0,34.6,Urea
sugarcane,6.14,84.4,44.5,72.0,83.7,NPK
wheat,6.46,83.5,30.0,43.6,65.9,NPK
wheat,6.84,29.7,52.6,71.9,40.5,Urea
wheat,6.54,53.8,36.8,62.9,37.8,Urea
maize,6.03,200.0,27.3,26.8,54.3,MOP
maize,5.49,200.0,56.5,78.5,28.9,Compost
cotton,6.05,65.9,42.9,97.9,47.5,NPK
cotton,6.59,130.5,49.3,26.3,71.7,MOP
wheat,5.94,114.3,54.0,25.2,23.9,Compost
sugarcane,7.89,23.0,5.0,53.8,37.0,DAP
cotton,5.56,48.9,27.0,36.3,50.4,Compost
maize,6.58,91.1,28.0,84.6,47.7,NPK
maize,5.48,59.6,43.9,46.6,40.2,Compost
rice,6.69,129.5,48.6,45.4,52.9,NPK
sugarcane,6.06,17.0,54.2,8.5,55.9,NPK
rice,7.58,32.4,42.9,57.0,74.4,Urea
rice,7.68,120.1,41.5,98.2,15.0,Compost
cotton,8.04,105.6,69.0,28.3,59.2,Compost
cotton,6.53,75.6,38.3,43.3,38.3,NPK
cotton,5.91,59.2,15.4,88.0,59.3,DAP
maize,6.92,10.0,23.7,56.0,60.8,DAP
rice,5.72,39.1,40.4,46.8,63.1,Urea
wheat,5.96,148.5,37.3,53.5,72.9,NPK
rice,7.26,67.9,64.8,38.4,61.7,NPK
maize,6.37,10.0,21.9,55.5,73.1,DAP
rice,7.02,112.3,53.2,50.4,95.0,NPK
sugarcane,6.64,78.6,41.8,54.8,45.5,NPK
cotton,5.53,70.6,26.0,8.0,51.9,Compost
cotton,5.68,56.2,69.1,10.9,68.4,MOP
maize,7.64,157.1,47.9,56.9,82.7,NPK
wheat,5.16,29.5,100.0,11.8,55.6,Compost
rice,5.54,100.7,33.3,49.9,64.5,Compost
maize,6.26,133.1,47.9,48.9,59.3,NPK
maize,4.6,67.1,75.9,86.2,51.5,Compost
rice,7.38,139.9,41.5,55.2,36.0,NPK
cotton,7.39,69.2,32.0,21.4,34.5,MOP
sugarcane,6.46,96.1,21.5,35.6,39.2,DAP
cotton,6.89,127.6,51.2,57.4,76.1,NPK
sugarcane,6.02,131.8,31.0,48.3,57.7,NPK
rice,5.61,92.9,46.7,33.9,32.0,NPK
cotton,6.85,109.9,53.5,52.2,42.9,NPK
sugarcane,7.96,179.0,23.2,38.0,58.0,DAP
cotton,6.74,57.3,35.6,47.3,56.0,NPK
wheat,7.51,105.8,47.6,21.7,58.0,MOP
wheat,7.21,137.6,24.6,55.8,39.7,DAP
wheat,7.42,55.3,27.0,55.6,64.5,NPK
sugarcane,7.08,81.8,5.0,22.7,41.6,MOP
cotton,5.89,102.9,51.5,10.2,31.4,MOP
maize,6.54,37.3,94.1,85.4,58.9,Urea
wheat,5.91,79.5,40.6,25.6,25.0,MOP
cotton,5.8,88.5,32.4,59.2,74.0,NPK
wheat,6.39,110.2,36.6,47.0,54.0,NPK
wheat,7.05,93.2,35.2,25.2,23.1,Compost
wheat,6.03,18.8,56.3,8.0,47.1,NPK
rice,6.52,121.8,72.6,44.3,51.0,MOP
maize,6.65,73.8,9.9,52.0,44.9,DAP
wheat,7.55,193.6,16.2,8.3,30.6,MOP
rice,6.95,83.8,5.0,53.3,51.7,DAP
cotton,6.36,92.5,28.8,45.4,36.1,NPK
wheat,7.71,10.0,46.2,15.8,64.5,NPK
cotton,7.23,110.2,68.4,104.0,20.4,Compost
sugarcane,6.3,189.5,23.8,79.5,17.9,Compost
rice,6.6,130.7,17.6,85.9,37.4,DAP
maize,5.67,40.8,43.8,58.4,21.3,Compost
maize,6.29,88.6,61.8,61.7,48.9,NPK
cotton,5.94,34.3,19.3,38.7,45.8,DAP
cotton,7.51,104.2,86.4,15.4,44.0,Urea
wheat,6.51,168.7,5.0,38.2,32.2,DAP
maize,5.64,23.6,43.9,76.9,48.2,Urea
sugarcane,6.86,123.1,34.4,74.0,59.9,NPK
maize,7.34,117.0,32.6,106.9,51.1,NPK
sugarcane,5.28,48.2,62.8,33.0,22.7,Compost
cotton,6.79,120.6,25.2,41.4,66.4,NPK
wheat,6.84,129.8,37.4,57.6,56.2,NPK
wheat,5.93,137.1,68.3,30.2,95.0,NPK
wheat,6.69,14.5,18.8,52.7,28.9,DAP
maize,6.54,44.5,46.2,8.0,64.8,NPK
rice,6.84,91.4,44.7,8.0,35.7,MOP
rice,6.16,73.5,63.2,72.6,42.1,NPK
wheat,6.91,166.8,12.8,29.7,56.0,MOP
rice,7.28,79.8,44.2,44.7,62.4,NPK
cotton,7.55,45.0,24.8,52.6,48.2,DAP
wheat,6.55,109.7,61.1,84.5,69.9,NPK
rice,6.05,140.6,17.1,27.4,67.4,MOP
sugarcane,6.1,155.1,24.8,47.2,54.8,DAP
sugarcane,7.12,66.0,28.8,37.9,63.4,NPK
rice,6.23,115.1,29.1,63.5,62.1,NPK
cotton,6.75,125.2,29.0,67.5,51.6,NPK
cotton,6.12,93.5,44.4,19.7,45.0,MOP
cotton,6.7,77.4,6.4,15.0,51.5,MOP
maize,5.4,34.2,53.9,56.3,36.3,Compost
wheat,4.79,149.2,53.1,26.2,69.2,Compost
wheat,8.63,134.1,42.9,67.8,57.6,Compost
maize,6.49,129.6,9.3,8.0,67.2,MOP
cotton,6.18,82.4,18.4,32.3,44.8,DAP
rice,6.94,98.6,35.9,40.8,74.7,NPK
maize,6.93,36.3,27.4,47.9,65.2,NPK
cotton,7.03,128.6,41.8,34.9,47.0,Compost
rice,5.86,35.2,52.3,24.4,48.3,NPK
rice,6.33,163.3,5.0,40.8,22.4,Compost
sugarcane,7.35,42.9,5.0,60.3,60.9,DAP
sugarcane,6.46,45.0,63.9,49.3,48.5,Urea
wheat,6.98,61.9,40.5,50.4,41.7,NPK
sugarcane,7.44,80.1,72.6,45.6,15.0,Compost
rice,6.99,53.3,5.0,21.8,56.8,MOP
sugarcane,6.97,146.5,5.0,81.5,23.4,Compost
maize,7.18,84.8,41.0,66.6,50.1,NPK
maize,7.73,104.1,48.0,38.1,46.6,NPK
sugarcane,6.43,77.6,63.6,44.7,67.6,NPK
sugarcane,5.75,108.2,60.7,29.5,56.2,MOP
maize,5.8,116.4,42.4,33.7,82.5,NPK
rice,6.63,119.0,78.5,8.0,57.7,MOP
rice,6.44,26.8,54.1,55.5,50.5,Urea
maize,5.41,53.5,60.9,104.6,64.9,Compost
maize,6.26,142.5,5.0,73.0,49.1,DAP
rice,7.5,193.5,5.0,64.7,66.5,DAP
maize,6.18,17.1,44.4,50.4,70.2,Urea
sugarcane,8.09,92.9,14.2,31.6,15.0,Compost
cotton,4.99,29.6,33.7,96.3,52.4,Compost
rice,7.35,91.0,51.2,91.0,45.7,NPK
maize,7.09,80.1,14.7,23.0,25.9,MOP
sugarcane,6.8,146.7,27.8,60.6,35.9,DAP
sugarcane,6.0,97.4,20.8,21.3,67.7,MOP
sugarcane,6.64,81.1,58.7,49.1,90.9,NPK
rice,5.72,134.7,70.4,8.0,56.7,MOP
wheat,8.2,22.2,37.5,103.0,43.8,Compost
wheat,5.13,94.0,26.3,15.8,46.1,Compost
maize,6.64,131.6,27.1,54.9,95.0,NPK
rice,6.12,77.5,30.1,64.3,36.3,NPK
cotton,4.83,10.0,26.0,70.8,43.1,Compost
maize,6.36,93.6,44.2,44.6,32.1,NPK
maize,6.64,123.4,54.0,35.9,39.0,NPK
cotton,6.16,27.2,51.8,29.5,42.3,NPK
cotton,6.13,144.8,65.4,34.1,91.8,NPK
maize,6.12,88.1,46.3,61.5,21.8,NPK
maize,6.72,185.4,65.4,72.5,65.5,NPK
cotton,5.12,150.2,35.3,84.6,69.3,Compost
rice,6.86,50.8,54.4,42.0,45.4,Urea
cotton,6.03,83.5,71.6,8.0,55.4,MOP
maize,6.0,82.0,53.5,57.4,45.0,NPK
rice,7.09,83.9,46.6,23.0,82.5,MOP
sugarcane,6.32,83.9,85.7,26.3,54.0,MOP
wheat,6.41,39.1,41.1,61.4,95.0,Urea
sugarcane,5.07,163.1,5.0,70.8,56.6,Compost
wheat,8.12,78.1,48.8,43.6,43.5,Compost
wheat,7.72,84.6,25.3,43.0,55.3,NPK
rice,6.91,135.9,33.2,27.9,29.5,MOP
rice,6.13,27.8,5.0,8.0,23.8,Compost
sugarcane,7.87,116.6,47.5,29.6,53.4,MOP
maize,5.98,76.5,38.3,55.4,38.6,NPK
sugarcane,6.07,105.0,48.0,47.1,58.1,NPK
maize,6.41,132.3,49.5,64.3,32.0,NPK
cotton,6.8,103.1,22.7,70.0,17.3,Compost
sugarcane,5.79,104.5,58.4,38.4,26.7,NPK
rice,6.21,101.1,72.8,82.4,44.0,NPK
rice,7.22,74.1,30.7,70.5,43.7,NPK
wheat,6.86,10.0,5.0,34.0,49.5,NPK
wheat,5.78,77.5,5.0,44.6,25.7,DAP
cotton,6.93,71.4,78.2,81.3,62.5,NPK
sugarcane,5.43,48.4,42.4,63.2,62.4,Compost
rice,6.97,112.6,17.8,49.3,86.6,DAP
maize,7.25,156.3,38.5,13.1,36.3,MOP
wheat,7.67,101.6,5.0,80.0,29.3,DAP
sugarcane,5.89,10.0,32.3,46.6,40.3,Urea
cotton,5.98,87.0,22.5,21.0,49.1,MOP
maize,6.02,74.9,77.0,20.3,26.8,Urea
rice,6.49,121.9,54.7,44.3,39.8,NPK
sugarcane,5.38,140.5,48.6,59.0,50.1,Compost
maize,6.49,82.4,16.6,23.3,81.4,Compost
cotton,7.79,67.2,56.8,38.9,67.8,NPK
sugarcane,7.22,98.9,12.1,17.4,93.3,MOP
rice,6.13,50.4,27.8,27.4,15.6,Compost
cotton,5.63,51.3,13.2,21.7,52.7,MOP
wheat,6.66,108.7,5.0,77.2,50.1,DAP
rice,6.41,115.8,56.1,87.3,48.1,NPK
maize,5.53,70.1,35.2,24.7,66.1,Compost
wheat,6.74,157.5,27.4,56.4,24.2,Compost
wheat,5.99,91.9,25.6,71.6,62.5,NPK
sugarcane,6.28,168.3,38.8,51.5,25.8,NPK
sugarcane,7.06,31.9,31.2,97.5,23.8,Compost
sugarcane,6.24,136.4,5.0,8.0,20.5,Compost
cotton,6.55,105.3,27.6,8.0,62.6,MOP
sugarcane,6.77,132.8,5.0,11.6,23.0,Compost
wheat,5.67,61.4,74.1,40.5,55.5,NPK
maize,6.68,61.4,48.9,21.3,80.0,MOP
maize,8.14,92.7,58.4,37.8,52.3,Compost
sugarcane,5.9,63.9,36.2,38.5,55.6,NPK
sugarcane,7.41,113.0,43.9,56.7,80.4,NPK
cotton,6.3,157.1,50.9,57.8,50.4,NPK
maize,6.89,76.7,17.7,8.0,73.8,MOP
rice,7.84,147.2,63.2,64.4,69.3,NPK
rice,5.69,10.0,60.7,53.6,41.3,Urea
maize,7.04,197.1,72.5,40.9,27.5,NPK
maize,5.75,83.2,60.4,50.5,15.0,Compost
rice,6.85,10.0,22.8,17.4,50.3,NPK
rice,6.91,110.3,61.9,47.4,45.5,NPK
sugarcane,5.58,73.3,39.2,8.0,67.0,Compost
cotton,6.77,134.9,25.4,39.8,37.9,NPK
cotton,7.08,103.2,50.2,58.7,64.4,NPK
wheat,7.16,122.2,21.6,46.5,47.1,DAP
wheat,7.05,169.1,29.0,96.5,85.6,NPK
rice,7.31,24.9,5.0,44.2,42.5,DAP
rice,5.35,145.2,45.2,54.4,47.8,Compost
cotton,7.28,47.8,45.0,52.2,52.8,Urea
maize,6.39,166.0,17.8,65.3,46.4,DAP
maize,6.96,149.2,5.0,38.1,63.1,DAP
maize,6.03,139.2,27.8,58.6,62.6,NPK
sugarcane,7.38,10.0,16.1,64.3,55.0,DAP
maize,7.96,111.9,64.8,51.3,82.4,NPK
wheat,6.28,108.3,36.4,55.5,45.0,NPK
cotton,5.8,76.9,31.2,26.2,35.0,MOP
rice,6.25,95.9,50.3,37.4,56.8,DAP
cotton,7.35,80.6,37.9,88.1,45.0,NPK
cotton,6.07,162.1,34.1,66.7,72.3,NPK
sugarcane,6.96,48.1,13.4,78.8,39.9,DAP
maize,7.47,130.0,12.7,32.4,36.7,NPK
maize,5.47,60.7,50.7,31.7,77.9,Compost
cotton,7.63,97.0,24.7,23.9,49.3,MOP
cotton,7.15,120.2,74.5,54.3,60.1,NPK
wheat,6.17,65.5,26.0,96.0,30.2,NPK
cotton,6.14,100.2,25.2,32.1,45.5,NPK
sugarcane,5.94,10.0,64.2,76.5,33.0,Urea
rice,5.89,134.8,51.3,18.8,70.0,MOP
cotton,6.25,34.5,41.4,68.1,25.4,Urea
wheat,7.86,61.0,57.5,59.0,45.3,Urea
rice,6.48,80.8,9.6,81.9,39.1,DAP
rice,6.57,78.4,58.5,28.5,73.6,MOP
sugarcane,6.29,46.3,31.4,36.5,42.3,Urea
sugarcane,5.8,126.5,22.0,8.0,36.3,MOP
rice,6.62,95.0,50.0,41.3,41.6,NPK
rice,6.69,81.5,35.8,45.3,49.6,Compost
maize,6.87,96.4,60.3,50.0,46.8,NPK
cotton,6.91,21.2,60.6,43.6,62.8,Urea
wheat,6.74,105.8,9.1,69.0,39.1,DAP
rice,7.31,120.8,30.3,62.1,70.9,NPK
sugarcane,5.25,103.9,77.6,40.0,61.1,Compost
rice,5.88,50.0,9.9,30.8,64.3,NPK
wheat,6.33,186.2,44.8,64.3,49.6,NPK
cotton,6.03,92.8,47.7,37.4,75.5,NPK
cotton,7.67,144.3,95.1,53.3,53.6,NPK
wheat,7.33,75.1,19.5,65.0,22.2,Compost
maize,7.35,173.9,49.1,95.0,39.0,NPK
wheat,6.79,115.0,40.6,33.8,55.4,NPK
wheat,6.61,123.1,27.7,52.2,23.1,Compost
wheat,6.35,82.7,25.6,58.2,19.0,Compost
maize,6.33,45.7,37.9,59.0,35.7,Urea
cotton,6.81,115.5,33.6,25.9,15.0,Compost
rice,8.39,78.0,58.0,24.0,67.3,Compost
rice,5.96,174.7,63.1,65.7,33.5,NPK
maize,7.05,57.3,42.5,59.0,65.3,NPK
cotton,6.63,95.6,5.0,12.3,42.0,MOP
maize,7.29,86.0,67.6,78.4,78.0,NPK
maize,5.8,64.9,15.0,54.6,95.0,DAP
rice,6.34,106.8,28.4,35.1,58.5,NPK
cotton,6.92,64.0,42.5,44.3,27.2,NPK
rice,6.6,43.2,39.0,50.7,55.7,Urea
cotton,5.87,82.8,40.6,21.3,29.4,MOP
wheat,7.25,101.9,47.3,58.1,59.3,NPK
maize,5.41,82.5,38.6,38.6,79.4,Compost
wheat,5.46,80.1,41.5,23.2,58.2,Compost
maize,7.61,29.3,27.0,58.7,44.7,NPK
sugarcane,6.97,150.0,58.5,78.1,48.4,NPK
rice,5.4,168.2,38.6,8.0,45.3,Compost
wheat,5.52,99.0,22.6,39.1,15.0,Compost
maize,6.43,84.3,68.8,57.0,35.9,NPK
maize,7.27,64.9,38.3,36.9,49.0,NPK
sugarcane,5.95,134.3,77.5,46.6,80.0,NPK
wheat,7.09,10.0,48.7,45.8,60.3,Urea
maize,5.16,28.5,61.3,49.8,64.8,Compost
sugarcane,7.31,93.3,22.9,65.6,46.7,DAP
sugarcane,5.85,47.4,14.7,21.1,32.6,NPK
sugarcane,5.46,141.9,54.3,47.4,29.6,Compost
cotton,5.76,136.2,77.3,52.4,41.7,NPK
maize,5.83,109.8,61.7,23.4,34.1,MOP
sugarcane,7.02,133.1,66.2,61.2,76.0,NPK
wheat,5.68,66.0,45.9,27.8,60.5,MOP
rice,6.4,70.2,36.3,55.2,58.4,NPK
sugarcane,6.02,89.7,25.4,43.5,79.3,NPK
cotton,7.76,143.0,5.0,25.5,55.0,MOP
wheat,4.6,88.8,47.1,17.7,40.7,Compost
wheat,5.19,83.1,58.2,21.0,53.2,Compost
cotton,6.63,44.8,40.1,43.8,75.8,Urea
cotton,6.91,78.1,81.3,90.0,33.7,NPK
sugarcane,5.75,190.7,44.4,36.0,62.4,NPK
wheat,6.66,85.5,35.5,45.6,46.0,NPK
cotton,7.03,83.4,14.5,77.6,83.9,DAP
sugarcane,6.95,172.2,35.2,60.4,66.5,NPK
rice,5.77,27.7,27.7,35.3,35.4,NPK
wheat,7.01,58.0,36.1,55.0,42.1,NPK
rice,6.75,105.5,89.4,9.3,39.1,MOP
maize,6.22,89.3,5.0,50.4,57.1,DAP
rice,7.4,131.6,54.3,15.8,33.7,MOP
wheat,5.73,169.2,29.3,8.0,34.0,MOP
rice,7.54,86.7,49.6,29.1,54.5,MOP
cotton,7.49,97.9,48.3,53.3,43.0,Compost
cotton,5.53,68.3,33.5,70.1,65.9,Compost
cotton,6.5,73.8,49.0,62.8,44.7,NPK
