crop_type,temperature_c,humidity_pct,rainfall_mm,leaf_wetness_hours,prior_disease_history,risk_level
rice,23.6,87.8,39.2,9.3,0,medium
cotton,32.3,50.8,327.7,5.6,0,low
cotton,22.5,51.4,600.0,5.9,0,low
rice,27.0,55.7,198.9,5.5,1,medium
cotton,19.6,80.7,565.5,5.5,1,medium
maize,29.3,70.4,203.4,2.7,0,medium
rice,32.5,59.9,37.5,9.6,1,medium
rice,15.9,84.1,132.6,11.7,0,medium
wheat,33.8,70.4,112.6,12.9,0,medium
cotton,38.5,49.9,82.8,5.4,0,low
cotton,21.9,65.3,266.0,7.7,1,medium
rice,21.8,66.6,67.0,8.8,0,low
rice,27.1,68.9,123.3,3.1,0,medium
maize,27.7,86.8,47.1,9.2,1,high
wheat,30.1,82.3,138.0,10.9,0,medium
sugarcane,22.7,89.7,98.4,10.6,1,high
maize,21.5,73.2,88.2,7.3,0,medium
rice,19.9,79.9,48.0,7.5,1,medium
cotton,30.7,75.0,128.8,9.3,1,medium
wheat,21.9,83.8,351.6,11.2,0,medium
rice,23.9,62.3,291.7,10.6,1,high
rice,16.4,41.3,146.3,6.7,0,low
wheat,22.7,97.8,22.7,12.7,0,medium
rice,29.2,69.6,66.3,8.2,1,medium
cotton,28.7,77.8,22.0,12.8,0,medium
cotton,25.0,50.5,39.7,3.8,0,low
maize,25.6,60.8,20.8,1.3,0,low
sugarcane,17.4,92.2,86.2,10.8,0,medium
wheat,15.0,54.2,100.4,2.9,1,low
wheat,27.2,55.1,224.8,8.1,0,low
rice,32.4,73.4,418.4,12.7,1,high
rice,35.1,82.8,105.7,11.2,1,medium
wheat,14.7,95.8,61.1,8.5,1,medium
maize,22.3,89.5,141.6,9.6,0,medium
cotton,13.1,71.9,65.4,7.3,0,low
wheat,27.7,64.5,40.6,6.0,0,low
wheat,30.8,81.0,351.5,8.9,0,medium
maize,12.9,91.9,198.2,13.6,1,medium
cotton,28.3,52.0,56.2,6.0,1,low
rice,29.8,66.1,138.0,5.5,0,low
cotton,27.6,80.1,82.9,9.4,0,medium
maize,32.0,44.1,38.9,5.8,1,medium
wheat,29.6,63.1,287.0,4.2,0,medium
rice,24.9,92.7,83.9,9.2,0,medium
cotton,30.1,71.7,45.5,5.3,0,medium
maize,22.2,78.0,302.8,13.0,0,medium
maize,24.9,63.1,37.7,8.2,1,medium
wheat,30.4,78.4,59.2,8.4,1,medium
maize,27.3,62.1,27.0,5.2,0,low
wheat,29.3,66.1,58.7,6.6,0,medium
rice,15.8,76.6,282.1,10.2,0,medium
maize,38.5,55.4,44.4,11.5,1,low
sugarcane,30.1,81.2,33.5,12.3,0,medium
sugarcane,32.9,78.1,328.9,6.0,0,medium
cotton,29.6,70.0,114.4,3.6,1,medium
rice,26.2,64.8,76.0,6.7,1,medium
rice,34.2,91.5,199.8,12.1,0,medium
maize,13.8,46.1,240.0,4.9,0,low
maize,27.2,60.7,64.5,8.0,0,medium
maize,29.5,65.9,46.5,8.9,1,medium
sugarcane,16.4,77.1,96.0,11.2,0,low
wheat,20.9,72.8,249.1,7.9,1,medium
wheat,32.2,80.8,232.2,6.0,0,medium
sugarcane,27.2,69.3,150.8,7.2,1,medium
wheat,17.8,76.6,111.0,6.8,0,low
sugarcane,27.6,85.9,600.0,2.3,0,medium
maize,27.9,60.3,24.4,6.0,1,medium
sugarcane,27.7,80.7,47.7,6.6,0,medium
wheat,34.5,74.9,99.7,4.9,0,low
sugarcane,25.3,35.0,47.3,4.8,0,low
cotton,28.5,78.5,185.5,3.3,0,medium
maize,31.1,63.5,66.2,2.1,0,low
sugarcane,19.3,48.4,220.5,2.1,0,low
maize,33.4,83.0,26.4,9.9,1,medium
sugarcane,23.6,83.3,77.5,12.2,0,medium
cotton,26.9,78.1,36.7,5.8,1,medium
wheat,17.8,46.0,177.2,2.9,1,low
cotton,31.0,77.0,27.5,5.7,1,medium
wheat,28.1,89.9,64.2,7.1,0,medium
rice,36.1,67.1,32.6,11.2,0,low
cotton,38.5,64.7,75.6,13.1,0,low
wheat,18.4,83.7,157.6,12.9,1,medium
wheat,20.7,99.0,81.2,10.2,0,medium
cotton,25.1,93.4,296.5,7.1,0,medium
cotton,31.0,63.8,88.5,7.9,0,low
wheat,33.4,64.2,84.6,8.6,0,low
cotton,25.8,75.2,274.1,14.7,0,medium
rice,27.2,73.8,123.8,4.3,0,medium
cotton,24.2,67.0,123.7,7.4,0,medium
rice,32.7,88.5,88.4,12.6,0,medium
sugarcane,33.9,44.6,159.3,8.3,0,low
rice,29.3,74.5,110.2,7.4,0,medium
rice,24.1,89.4,380.7,9.6,0,high
cotton,31.3,79.1,31.2,5.3,0,low
rice,36.8,65.6,202.0,8.0,0,low
wheat,27.1,55.4,54.9,10.9,0,low
sugarcane,25.5,69.8,110.7,12.2,0,medium
maize,29.1,68.5,117.4,9.1,1,medium
wheat,28.9,68.6,108.7,10.4,0,medium
cotton,33.0,55.3,21.8,1.7,0,low
rice,32.0,67.2,480.6,9.2,0,medium
rice,26.9,85.9,117.1,10.2,0,medium
cotton,29.2,79.8,582.4,10.1,1,high
rice,20.1,83.7,104.7,11.0,0,medium
sugarcane,21.0,72.6,86.4,13.1,1,medium
rice,16.5,94.6,43.9,10.7,1,medium
cotton,28.2,79.6,76.9,8.9,0,medium
wheat,35.5,51.9,63.0,5.7,1,low
sugarcane,25.5,51.8,139.6,11.0,1,medium
wheat,31.6,55.6,39.2,10.3,1,low
wheat,24.5,99.0,274.3,7.1,1,high
cotton,18.4,74.9,550.7,12.1,1,medium
rice,22.1,67.2,109.7,4.1,1,medium
wheat,22.8,87.6,304.9,12.0,1,high
sugarcane,25.4,76.8,75.9,9.6,1,medium
rice,26.9,80.2,322.8,7.9,0,high
rice,24.7,99.0,100.1,9.2,0,medium
rice,28.0,69.6,107.8,12.4,0,medium
rice,39.3,70.9,150.7,8.4,0,low
maize,21.5,66.6,41.9,7.6,0,low
cotton,16.9,78.2,38.6,11.7,0,low
sugarcane,21.5,76.2,60.4,6.3,1,medium
maize,25.8,57.4,54.6,8.1,1,medium
cotton,19.8,87.9,146.4,7.4,0,medium
rice,32.9,47.8,132.7,0.0,1,low
maize,26.2,59.4,55.4,7.9,0,low
cotton,27.1,62.4,29.7,8.0,1,medium
rice,28.9,43.2,247.6,9.1,1,medium
rice,30.7,75.9,34.5,7.4,0,low
maize,31.8,71.1,88.5,8.4,0,medium
sugarcane,29.5,51.7,60.7,0.2,0,low
cotton,31.0,66.1,157.5,10.3,0,medium
sugarcane,29.3,75.2,35.3,5.4,0,medium
maize,24.6,55.3,33.3,5.9,0,low
maize,24.2,84.1,25.8,9.6,0,medium
wheat,29.4,89.4,274.3,8.2,0,medium
wheat,36.3,84.6,59.7,12.7,0,medium
rice,30.4,72.3,34.6,8.7,1,medium
wheat,22.3,55.3,600.0,3.5,0,low
cotton,34.6,68.8,72.0,1.8,1,low
cotton,33.3,52.7,165.9,3.0,0,low
maize,29.2,62.9,55.3,6.9,1,medium
wheat,30.6,99.0,25.1,5.3,0,medium
cotton,30.9,76.0,302.9,8.6,0,medium
maize,13.4,65.7,35.9,2.8,1,low
wheat,27.3,65.9,135.1,10.4,0,medium
rice,24.4,76.7,472.1,11.1,1,high
sugarcane,25.8,64.1,129.9,9.1,0,medium
sugarcane,24.7,82.9,29.9,6.8,1,medium
sugarcane,21.3,82.3,89.9,5.4,0,low
sugarcane,23.6,94.9,71.2,12.8,1,high
maize,18.0,80.3,20.8,8.9,1,medium
sugarcane,32.7,63.0,51.3,7.9,1,medium
wheat,31.6,70.5,427.4,5.9,0,medium
cotton,20.2,95.7,20.3,6.9,0,medium
maize,30.0,86.9,57.2,8.3,0,medium
wheat,33.4,81.3,206.4,6.6,0,medium
sugarcane,35.8,99.0,224.9,13.8,1,high
wheat,37.4,64.6,120.0,9.0,0,low
cotton,29.1,51.8,73.5,0.0,0,low
wheat,20.3,99.0,26.0,10.7,1,high
maize,12.0,47.6,56.0,3.2,0,low
cotton,31.0,57.4,158.2,9.8,1,medium
cotton,24.3,89.9,84.9,11.5,0,medium
sugarcane,28.6,73.1,279.8,10.0,1,high
cotton,26.1,82.9,152.2,7.7,1,high
wheat,20.0,82.9,222.0,9.4,0,medium
maize,24.7,51.0,147.1,5.5,0,low
wheat,21.4,67.8,39.4,9.5,0,low
rice,23.7,95.8,91.1,8.8,1,high
rice,26.5,96.0,308.9,12.4,0,high
wheat,25.5,41.6,71.5,2.9,0,low
maize,34.3,90.5,182.1,6.8,0,medium
cotton,28.6,75.0,94.6,10.8,0,medium
rice,21.0,59.0,75.8,3.1,0,low
sugarcane,29.7,83.8,125.2,11.1,0,medium
cotton,18.6,70.5,135.1,15.1,1,medium
sugarcane,19.5,55.5,366.2,0.0,1,low
wheat,25.8,82.4,306.2,7.4,0,medium
maize,20.9,90.2,541.9,8.3,0,medium
cotton,26.1,91.8,23.1,8.2,0,medium
wheat,27.1,97.1,101.9,3.8,1,high
cotton,28.5,66.1,64.8,7.7,1,medium
sugarcane,16.8,74.8,39.5,12.9,1,medium
rice,23.8,84.2,138.2,12.6,1,high
rice,26.2,93.7,117.7,10.6,1,high
wheat,30.0,98.0,88.0,13.8,1,high
wheat,30.4,98.8,67.5,7.4,0,medium
cotton,30.8,35.0,39.5,3.9,0,low
wheat,24.7,93.0,38.7,4.6,1,medium
wheat,33.2,54.1,244.1,9.3,0,medium
rice,32.4,64.4,148.3,13.5,0,medium
cotton,21.6,76.7,184.8,12.4,1,high
sugarcane,31.1,71.2,140.8,11.4,0,medium
sugarcane,28.1,61.5,96.0,8.8,1,medium
maize,23.8,82.7,519.0,9.2,0,medium
maize,27.6,80.1,107.9,7.1,0,medium
maize,38.4,69.5,44.7,12.0,0,low
wheat,35.7,65.1,252.9,4.8,0,low
sugarcane,22.3,62.7,142.5,11.1,0,medium
rice,12.0,80.7,94.0,4.4,0,low
sugarcane,26.2,48.1,177.0,3.6,0,low
sugarcane,27.1,77.6,66.8,4.3,1,medium
cotton,37.8,53.0,338.2,6.1,1,low
sugarcane,28.8,53.5,489.3,7.9,0,low
sugarcane,21.6,78.0,120.5,10.6,1,medium
rice,26.2,65.0,218.3,12.2,1,medium
cotton,35.9,35.0,318.3,2.9,0,low
rice,22.4,86.5,62.6,8.3,0,medium
maize,30.9,95.4,48.3,11.9,1,high
wheat,20.6,85.9,99.7,11.2,1,high
sugarcane,33.6,86.5,71.6,13.3,0,medium
sugarcane,31.7,43.8,314.1,0.5,1,low
cotton,26.7,81.7,160.5,6.9,0,medium
sugarcane,27.9,50.9,379.7,7.0,0,medium
rice,24.2,65.7,557.1,7.2,1,high
maize,17.2,76.1,119.2,4.0,1,medium
sugarcane,27.5,66.0,89.8,11.9,0,medium
maize,27.7,67.8,82.2,2.7,0,low
cotton,21.7,81.6,82.7,1.8,1,medium
wheat,29.0,80.3,56.0,10.8,0,medium
sugarcane,27.1,67.5,89.6,10.3,1,medium
maize,29.2,56.5,79.7,4.7,0,low
cotton,20.7,99.0,26.9,16.6,0,medium
wheat,29.3,73.6,431.3,6.4,0,medium
maize,31.8,49.5,301.9,3.6,1,medium
rice,34.5,64.0,124.0,11.3,1,medium
rice,28.6,87.0,149.9,12.4,1,high
sugarcane,28.9,90.6,135.3,6.3,0,medium
rice,21.7,83.0,345.6,10.6,0,medium
sugarcane,26.9,50.5,64.0,5.7,0,low
rice,25.3,59.4,129.8,4.3,0,low
rice,35.5,51.9,87.8,9.3,0,low
sugarcane,27.3,57.0,338.6,5.8,1,high
wheat,21.5,81.5,25.8,8.6,0,medium
wheat,35.0,50.8,52.7,3.6,0,low
rice,32.4,90.9,21.4,10.9,1,medium
maize,32.2,85.7,22.7,6.7,0,low
wheat,31.4,99.0,219.0,9.5,0,medium
maize,26.9,60.1,60.1,8.0,0,low
maize,25.9,45.8,49.1,4.1,0,low
wheat,17.4,94.7,119.3,12.0,0,medium
cotton,27.2,43.6,64.6,4.0,0,low
rice,29.7,40.2,53.8,3.5,1,low
maize,34.6,74.0,80.7,4.8,1,medium
sugarcane,39.9,61.0,105.7,11.9,0,low
rice,16.5,88.9,166.3,11.5,0,medium
rice,29.5,84.7,55.7,4.1,1,medium
wheat,21.8,78.7,119.6,12.6,0,medium
maize,35.6,76.1,115.1,2.2,1,medium
wheat,23.4,64.1,39.0,8.2,0,low
rice,20.4,85.7,130.7,9.3,0,medium
sugarcane,34.7,63.4,40.7,10.1,1,medium
wheat,37.8,89.3,94.8,7.2,1,medium
sugarcane,26.0,78.4,108.5,9.3,1,medium
wheat,19.0,68.3,175.8,8.9,0,low
cotton,40.8,76.6,35.6,8.7,0,low
maize,20.5,70.0,420.4,3.3,0,medium
maize,37.6,47.7,286.2,1.8,0,low
cotton,28.2,95.6,138.2,9.6,1,high
rice,35.1,91.5,432.9,6.9,0,medium
maize,27.5,63.6,600.0,8.6,0,medium
wheat,27.8,46.2,50.6,11.3,0,low
wheat,29.4,79.3,21.8,10.0,0,medium
wheat,25.5,65.3,21.8,2.9,0,low
cotton,21.2,63.4,88.8,3.1,0,low
cotton,38.6,39.7,49.8,3.7,1,low
maize,33.1,77.6,31.1,7.9,1,medium
maize,33.3,76.0,51.7,8.1,1,medium
maize,28.7,99.0,95.7,17.2,0,high
rice,33.1,54.4,285.6,8.5,0,medium
wheat,28.3,87.5,55.7,6.8,0,medium
sugarcane,36.9,59.1,29.8,8.9,0,low
rice,27.3,67.8,20.5,11.2,0,medium
wheat,33.1,63.7,125.1,12.8,1,medium
cotton,19.7,65.1,53.8,6.5,1,medium
maize,19.7,69.0,97.0,7.9,0,low
cotton,33.1,50.1,26.7,6.2,1,low
wheat,30.9,79.9,55.6,8.2,1,medium
sugarcane,14.0,74.9,146.1,4.2,1,medium
wheat,26.5,55.5,42.3,8.1,0,low
rice,21.0,89.8,105.1,10.3,0,medium
cotton,34.7,70.0,39.8,15.4,0,medium
rice,29.1,71.6,58.9,4.2,0,low
rice,27.8,73.6,150.5,9.5,0,medium
cotton,29.0,82.1,247.2,10.9,0,medium
rice,31.3,62.8,73.8,2.2,0,low
wheat,32.9,67.5,161.5,3.0,1,medium
cotton,23.8,68.1,276.8,12.0,0,medium
maize,26.3,56.1,96.6,8.3,0,low
sugarcane,31.0,63.8,126.3,14.5,1,medium
wheat,22.7,52.1,230.5,9.5,1,medium
wheat,27.0,84.4,317.0,8.8,0,medium
maize,20.2,59.3,258.6,10.0,0,medium
sugarcane,23.1,97.2,177.3,12.4,1,high
cotton,38.8,74.4,83.1,9.8,1,medium
cotton,25.5,55.2,27.4,7.3,0,low
rice,32.4,80.1,110.3,14.1,0,medium
wheat,19.1,67.6,59.4,8.4,0,low
sugarcane,26.4,48.8,46.4,3.9,0,low
rice,28.4,81.8,79.7,7.9,1,high
rice,36.4,68.2,137.5,9.3,0,low
wheat,16.8,73.8,69.7,11.9,1,medium
sugarcane,24.7,35.0,219.8,3.9,0,low
rice,26.5,73.1,50.1,8.3,0,medium
sugarcane,28.3,91.5,137.5,12.4,1,high
maize,20.3,75.7,29.3,9.9,1,medium
maize,41.4,80.1,220.2,11.5,0,medium
sugarcane,27.4,84.8,93.9,6.6,0,medium
sugarcane,30.0,55.6,163.6,1.7,0,low
wheat,26.4,65.6,131.6,8.9,0,medium
cotton,22.6,86.9,242.7,14.2,0,high
maize,28.2,98.7,57.7,11.7,1,high
cotton,38.4,86.0,54.8,12.0,1,medium
maize,21.7,78.2,138.0,10.6,0,medium
wheat,21.0,52.0,101.9,5.0,0,low
rice,29.3,62.8,41.4,14.0,0,medium
cotton,24.9,77.0,27.4,5.1,1,medium
maize,17.1,78.8,113.6,9.7,0,low
maize,22.6,75.7,23.5,11.1,0,medium
sugarcane,24.6,70.5,62.6,12.1,0,medium
rice,27.0,65.0,597.4,6.6,0,medium
sugarcane,23.7,76.3,173.5,4.2,0,medium
cotton,31.6,50.2,68.2,5.1,0,low
wheat,14.7,69.4,117.1,6.6,1,medium
wheat,26.4,75.0,68.0,10.1,0,medium
cotton,21.1,38.9,52.4,4.6,0,low
maize,25.1,86.8,33.4,11.5,1,high
cotton,19.2,72.5,96.3,0.7,1,medium
sugarcane,30.8,89.8,120.8,12.9,1,high
maize,29.6,82.0,62.7,10.3,0,medium
cotton,21.3,84.6,357.9,7.4,1,high
rice,16.3,58.2,188.8,1.8,0,low
wheat,17.6,74.1,32.5,9.4,0,low
wheat,23.7,87.4,208.5,10.9,0,medium
cotton,30.3,55.6,349.1,3.8,0,low
wheat,32.2,67.5,111.4,11.5,0,medium
sugarcane,14.6,71.3,30.1,2.5,0,low
sugarcane,22.1,70.8,209.4,3.3,0,low
rice,29.7,35.0,320.3,2.3,0,low
maize,24.4,73.1,397.1,6.3,0,medium
sugarcane,22.8,78.8,36.2,6.8,0,low
sugarcane,20.1,61.7,57.0,8.0,0,low
wheat,31.4,70.0,91.0,4.7,0,low
maize,23.0,56.4,101.4,3.0,0,low
maize,27.6,71.9,91.8,9.2,0,medium
wheat,20.0,85.0,21.7,13.0,0,medium
maize,31.0,75.9,37.7,11.3,1,medium
sugarcane,28.0,86.0,207.8,10.5,0,medium
cotton,31.9,86.4,279.5,11.6,0,medium
rice,23.0,52.6,91.4,6.1,1,medium
maize,37.3,82.2,92.2,11.6,0,low
cotton,31.3,76.8,159.5,6.7,0,medium
sugarcane,24.1,63.7,168.6,10.6,1,medium
sugarcane,33.5,67.6,347.5,8.5,1,high
cotton,23.9,83.2,181.3,9.3,1,high
sugarcane,23.9,68.5,146.0,4.6,1,medium
sugarcane,30.7,99.0,32.1,13.0,0,medium
rice,25.8,46.1,159.6,6.7,0,medium
cotton,24.7,91.5,44.7,12.1,0,medium
sugarcane,28.2,67.9,179.6,12.8,0,medium
rice,17.1,94.7,205.7,12.9,0,medium
maize,26.7,89.5,209.9,10.3,0,high
rice,17.5,92.3,101.1,15.6,1,high
wheat,28.2,75.4,20.1,6.4,0,low
wheat,18.5,63.5,173.2,5.1,1,low
sugarcane,31.9,42.6,140.7,8.5,0,low
maize,16.3,55.7,100.3,11.4,0,low
sugarcane,31.0,57.6,53.3,10.3,0,low
wheat,18.0,74.4,21.3,5.6,0,low
sugarcane,32.6,71.8,105.7,7.8,0,medium
maize,25.9,60.0,142.0,7.9,1,medium
cotton,26.6,69.7,87.1,8.3,0,medium
rice,31.0,53.3,30.0,2.8,0,low
maize,35.8,58.3,123.2,4.5,0,low
rice,32.9,67.7,131.9,8.0,0,low
rice,37.2,74.2,310.9,9.9,0,medium
rice,30.0,35.0,239.6,2.8,0,low
wheat,19.3,57.0,81.2,6.2,0,low
rice,27.3,87.8,123.7,12.6,1,high
rice,25.6,57.1,231.2,4.3,0,low
wheat,22.9,83.7,191.6,15.3,1,high
cotton,34.9,75.5,247.6,7.2,0,medium
cotton,36.0,61.3,87.4,6.9,1,medium
sugarcane,33.5,70.0,150.0,7.2,0,low
cotton,19.4,94.3,41.8,14.3,0,medium
sugarcane,30.7,85.0,256.8,15.0,0,high
wheat,21.2,73.4,22.7,11.0,0,medium
maize,25.1,83.5,600.0,8.4,0,medium
sugarcane,34.6,99.0,118.3,10.3,0,medium
maize,27.5,50.8,132.0,4.7,0,low
wheat,20.7,52.2,48.1,1.4,1,low
rice,23.7,71.1,111.7,10.0,1,medium
wheat,27.4,62.8,374.4,6.8,0,medium
maize,22.3,68.9,68.7,2.4,0,low
cotton,23.1,96.7,27.4,11.7,0,medium
wheat,33.0,52.5,92.7,13.5,0,low
rice,29.9,99.0,156.6,9.0,0,high
wheat,25.5,70.8,158.1,8.8,1,high
maize,19.1,62.4,84.2,11.0,1,medium
wheat,17.6,99.0,39.8,14.2,0,medium
sugarcane,29.0,74.8,166.7,5.2,1,medium
cotton,20.5,82.4,24.6,8.7,0,medium
sugarcane,30.1,84.5,109.8,12.3,0,medium
wheat,39.3,55.4,75.0,8.1,1,low
cotton,33.6,74.0,22.2,9.5,1,medium
maize,24.5,92.4,34.0,10.4,0,medium
wheat,26.0,66.7,225.4,13.6,1,high
maize,18.6,69.6,22.8,7.3,0,low
rice,23.2,81.8,176.4,5.6,0,medium
rice,23.5,58.1,403.4,3.6,0,medium
sugarcane,26.5,56.9,65.9,5.8,0,low
cotton,23.1,74.4,42.8,8.6,0,medium
wheat,23.1,93.9,55.3,14.1,0,medium
sugarcane,23.5,75.8,38.0,12.1,1,medium
cotton,26.5,61.7,22.5,6.4,1,medium
cotton,30.4,76.0,54.7,9.6,0,medium
rice,14.1,57.5,67.4,8.5,0,low
wheat,17.9,69.9,188.2,6.5,0,low
maize,28.0,68.5,110.0,9.8,0,medium
cotton,27.7,99.0,294.5,9.8,0,high
maize,38.5,54.7,121.4,9.8,0,low
cotton,28.8,61.3,139.8,9.8,0,low
cotton,30.8,80.1,115.3,10.2,1,medium
rice,23.8,82.0,48.3,7.6,1,medium
cotton,28.1,66.3,272.6,10.9,0,medium
maize,26.9,99.0,57.3,10.2,0,high
maize,29.0,79.2,204.3,11.8,0,medium
wheat,27.1,62.1,55.2,11.9,1,medium
sugarcane,35.9,66.3,33.0,12.2,0,low
maize,21.6,75.0,41.0,9.1,0,low
sugarcane,25.7,69.0,87.3,10.2,0,medium
maize,33.0,80.0,98.0,8.1,0,medium
maize,29.9,94.6,314.6,9.6,0,high
wheat,25.5,79.9,98.9,8.8,0,medium
sugarcane,22.4,88.3,38.1,9.6,1,medium
wheat,30.2,60.1,152.6,9.0,0,medium
cotton,36.5,73.9,37.3,2.3,0,low
rice,17.6,99.0,20.6,9.3,1,medium
rice,19.9,54.9,37.5,5.6,0,low
wheat,25.3,53.1,130.9,6.9,0,low
maize,26.9,55.6,200.3,3.0,1,medium
rice,26.3,74.7,53.9,7.1,0,medium
sugarcane,32.7,35.4,333.7,1.3,1,medium
sugarcane,22.0,61.1,306.2,7.1,0,medium
wheat,30.6,81.9,130.8,11.0,0,medium
sugarcane,23.9,93.8,264.5,12.6,0,high
rice,32.3,78.6,272.8,7.6,0,medium
wheat,28.1,99.0,51.2,13.6,0,high
rice,22.3,92.6,53.7,8.2,1,high
sugarcane,24.3,75.6,28.0,8.1,0,medium
cotton,34.4,69.5,175.9,6.0,1,medium
sugarcane,20.1,85.8,39.9,6.0,0,low
wheat,21.5,80.8,183.2,7.8,1,medium
sugarcane,30.4,48.3,267.5,5.6,0,low
cotton,26.8,36.5,446.1,6.2,0,low
maize,21.5,59.3,146.2,8.6,1,medium
rice,26.5,89.6,155.0,10.8,1,high
cotton,17.6,71.5,48.6,9.8,0,low
maize,22.9,90.3,123.3,7.5,0,medium
rice,19.4,79.8,50.2,3.2,0,low
sugarcane,28.8,72.8,155.8,3.3,0,medium
sugarcane,30.7,48.2,165.4,4.2,0,low
cotton,30.5,78.4,135.1,4.7,0,medium
cotton,20.6,79.9,585.9,9.8,0,medium
cotton,19.7,66.3,108.3,11.8,0,low
wheat,30.3,99.0,32.4,17.2,0,high
wheat,29.5,83.7,130.8,3.5,0,medium
rice,37.1,84.8,143.5,5.4,0,low
wheat,18.9,99.0,137.9,11.4,1,high
sugarcane,27.7,64.8,80.5,7.6,1,medium
sugarcane,30.5,58.1,30.9,4.5,1,low
wheat,33.1,93.3,242.4,12.3,0,high
rice,28.6,71.4,78.8,13.0,1,medium
sugarcane,27.8,82.9,227.8,8.4,0,medium
wheat,12.3,75.6,43.1,7.4,1,medium
wheat,20.5,77.5,186.4,11.2,1,medium
wheat,23.1,80.1,178.7,10.3,0,medium
sugarcane,28.4,89.3,33.4,7.7,0,medium
sugarcane,33.5,63.3,196.2,2.2,0,low
sugarcane,18.7,69.2,193.1,4.7,0,low
maize,26.6,72.0,79.2,1.7,1,medium
sugarcane,29.4,70.2,185.6,14.3,0,medium
sugarcane,20.5,96.3,99.2,6.6,1,high
rice,21.7,60.4,191.4,5.9,0,low
rice,12.0,75.8,35.1,7.0,1,low
wheat,26.9,61.7,254.7,11.3,0,medium
rice,27.8,99.0,79.3,13.8,0,high
sugarcane,26.9,83.7,217.7,8.7,0,medium
wheat,31.9,90.5,192.8,13.0,1,high
wheat,27.5,59.0,168.6,8.8,1,medium
sugarcane,29.2,84.9,190.1,6.4,0,medium
rice,28.9,37.3,325.5,5.0,0,medium
wheat,20.8,89.8,481.9,12.1,0,high
rice,18.8,75.9,25.6,11.9,0,low
