crop_type,soil_ph,rainfall_mm,temperature_c,humidity_pct,nitrogen,phosphorus,potassium,yield_kg_per_hectare
rice,7.2,1003.0,29.1,81.6,76.0,46.4,85.5,3301.16
wheat,6.06,619.1,24.8,71.1,112.6,29.2,40.9,2350.72
wheat,7.34,628.4,16.5,68.0,193.1,63.3,46.2,4435.34
maize,5.53,579.6,26.9,79.8,109.6,15.5,64.9,3345.89
sugarcane,6.14,1313.6,28.6,55.9,111.7,30.0,60.4,55848.6
rice,7.16,1286.3,35.3,67.0,129.8,60.0,20.1,4312.29
sugarcane,6.14,1609.8,27.9,42.7,53.0,45.9,60.2,45973.77
sugarcane,7.13,1453.0,34.5,44.4,83.8,10.0,94.9,55320.96
rice,7.3,1105.8,31.9,52.2,128.5,70.9,15.0,3612.84
wheat,6.92,627.3,22.7,66.0,133.4,41.6,66.6,3747.46
sugarcane,6.26,1328.9,32.6,62.1,120.1,82.4,72.4,76539.1
wheat,6.25,778.8,22.2,72.1,134.8,84.8,95.0,3722.43
wheat,6.43,648.8,23.6,69.3,79.0,50.2,58.3,3096.25
rice,6.84,1146.2,31.2,98.0,116.4,49.5,45.8,3798.65
sugarcane,6.25,1558.6,33.6,55.3,167.5,44.3,56.7,67748.53
cotton,8.18,549.3,42.3,70.6,20.0,38.1,81.6,1078.5
rice,6.06,938.8,22.8,88.9,132.9,44.0,60.6,3515.21
rice,6.46,1261.7,35.2,76.3,117.6,53.0,60.0,3773.88
rice,6.16,1126.2,30.5,62.5,66.8,25.2,65.8,2768.26
wheat,6.04,629.3,21.9,86.5,102.6,27.9,23.9,1897.03
maize,5.55,710.9,21.5,65.9,109.8,21.3,71.1,3468.54
wheat,6.1,658.7,17.3,58.8,125.6,45.3,100.5,3218.03
cotton,5.66,700.8,23.2,52.3,62.3,10.6,43.7,1178.2
sugarcane,5.6,1860.3,32.2,84.3,146.4,27.0,103.6,66256.01
wheat,7.47,301.2,18.6,62.8,60.7,31.0,32.8,2268.22
cotton,7.46,375.6,24.5,59.3,200.0,47.7,71.3,2050.61
maize,5.74,856.9,25.0,62.8,134.9,53.0,47.8,5091.66
sugarcane,6.41,1153.9,28.6,64.4,157.7,58.9,61.6,83757.38
rice,5.73,1045.9,33.6,43.5,136.5,19.6,79.9,2909.85
rice,6.34,1368.1,29.6,54.3,109.3,51.0,53.7,3754.76
wheat,6.82,344.8,14.6,78.4,116.0,41.7,55.4,3081.31
sugarcane,7.37,1772.4,31.5,86.4,109.7,69.5,52.0,65044.34
rice,6.21,1328.6,27.5,59.0,141.9,28.5,69.2,3761.69
sugarcane,5.31,1091.7,28.5,68.4,128.1,31.9,58.7,43371.34
rice,7.18,1218.8,31.6,89.0,105.5,55.0,19.9,3430.92
cotton,6.8,640.7,29.7,53.3,35.8,38.7,34.1,1212.91
sugarcane,6.16,1957.5,33.8,60.1,132.1,62.5,67.4,63803.94
maize,7.29,660.8,26.9,95.2,134.2,68.2,71.1,6628.27
wheat,6.79,638.1,18.9,69.7,99.1,47.1,30.0,3442.33
sugarcane,6.03,1622.4,30.2,54.5,133.0,59.2,53.7,66615.02
maize,5.62,825.2,21.8,85.9,100.9,47.4,63.3,3464.17
sugarcane,7.46,1684.1,20.4,78.2,102.4,62.9,60.1,56231.93
maize,6.66,909.8,23.9,87.7,190.5,38.5,46.1,5814.27
cotton,5.99,791.1,26.6,56.7,74.8,26.1,16.3,1165.24
cotton,7.29,650.0,27.8,77.4,70.7,51.9,58.3,1979.51
sugarcane,6.51,1309.7,32.9,75.1,66.3,55.3,105.0,65423.4
wheat,6.34,409.2,23.2,82.7,122.0,38.2,40.9,2790.41
wheat,7.68,765.5,17.5,62.6,120.0,51.0,68.2,3625.94
maize,5.92,622.0,26.2,59.2,141.8,45.6,92.3,5914.27
maize,6.89,845.7,30.4,68.9,87.7,36.5,45.7,3621.33
sugarcane,7.35,1777.4,36.5,77.1,104.2,47.6,79.1,58272.15
rice,6.89,1350.1,28.2,68.0,138.6,18.2,55.5,3790.5
rice,7.05,1790.8,27.9,71.1,118.7,73.4,53.1,4501.51
cotton,6.99,581.5,25.5,74.9,127.2,34.1,50.3,2252.21
rice,8.01,1065.0,23.0,87.4,149.8,36.8,52.7,2964.33
cotton,5.59,372.2,30.0,61.0,74.3,57.8,59.9,1522.23
maize,6.44,578.0,25.5,76.9,67.0,74.9,73.0,4980.7
rice,5.72,1610.9,28.7,83.6,122.0,53.2,66.4,4155.29
cotton,6.96,644.0,35.4,89.0,122.8,16.6,43.5,1523.04
sugarcane,7.19,1267.3,29.2,41.5,94.2,10.0,23.3,41716.21
sugarcane,6.78,1581.4,28.5,74.1,115.7,28.6,54.7,55780.2
cotton,6.97,929.4,24.1,68.5,100.6,43.4,51.4,1733.99
rice,7.24,1388.1,29.4,64.2,117.4,60.8,84.5,5550.47
wheat,7.09,597.2,23.6,76.9,146.7,35.4,81.3,3826.53
rice,6.19,1244.0,28.2,51.0,132.8,73.2,49.0,5466.29
maize,5.88,670.6,28.5,83.8,213.8,43.3,36.3,5005.81
wheat,6.01,548.4,14.5,61.4,62.9,38.3,48.3,2367.2
sugarcane,7.25,1694.5,23.5,55.4,55.3,81.0,52.9,57696.83
rice,7.52,1359.8,25.9,48.9,86.5,10.0,45.2,2662.73
rice,6.95,1315.2,27.1,58.6,109.1,66.1,65.9,4610.31
wheat,6.12,583.1,14.7,83.0,146.6,39.7,55.3,3256.17
cotton,5.51,641.9,18.6,71.6,100.9,67.2,68.0,1593.07
wheat,6.08,393.4,25.6,45.5,127.6,10.0,69.1,2738.73
cotton,6.72,832.5,25.7,68.6,66.7,56.3,58.8,1790.27
cotton,6.7,743.4,27.4,83.2,36.5,97.9,37.6,1751.82
sugarcane,6.09,1591.5,33.4,56.7,94.0,34.3,52.9,51878.41
rice,7.27,1326.9,27.4,68.9,116.9,53.1,33.5,3996.93
sugarcane,7.19,1958.3,27.0,61.8,53.5,61.8,48.3,50323.37
wheat,6.81,455.8,23.6,66.1,97.3,58.6,48.6,3454.07
wheat,7.38,374.6,24.7,96.4,140.6,10.0,76.3,3227.64
maize,7.75,901.5,23.2,98.0,144.4,39.2,15.0,4269.84
sugarcane,6.66,1119.2,30.4,45.1,145.8,10.0,72.1,64178.59
maize,6.42,808.8,25.2,75.7,108.8,27.9,37.6,3723.25
maize,6.64,865.4,22.7,70.3,84.9,73.1,33.8,4467.45
cotton,6.67,493.2,25.3,72.5,54.2,52.9,54.6,1788.57
wheat,6.93,276.8,21.0,98.0,156.4,52.6,33.8,3497.34
wheat,5.73,466.9,17.1,80.5,99.7,67.5,41.5,3005.35
cotton,6.43,522.1,26.0,59.8,107.2,64.7,28.8,2024.34
sugarcane,7.46,1904.6,24.9,71.7,161.1,14.7,61.3,52741.77
maize,7.77,888.4,18.5,40.4,146.5,35.6,22.0,3719.83
sugarcane,5.83,1250.8,28.7,65.2,83.4,45.6,42.6,50855.7
sugarcane,7.04,1014.1,26.6,78.3,62.5,41.6,52.1,45627.71
wheat,6.59,563.6,23.5,42.9,155.9,57.5,48.5,3593.64
wheat,4.97,490.1,17.0,79.1,87.3,49.9,71.3,1957.26
wheat,6.71,845.9,18.8,62.3,69.5,17.3,30.6,1851.65
wheat,6.01,357.9,28.6,52.2,139.3,45.6,60.0,3013.3
sugarcane,6.62,758.8,34.5,35.9,161.7,64.5,90.5,84515.54
maize,6.13,898.8,25.3,57.4,128.8,28.8,55.6,4451.91
rice,6.44,1299.4,37.6,63.8,87.2,54.5,15.0,2901.16
wheat,6.04,592.2,23.8,30.0,106.2,43.8,46.8,2932.21
cotton,6.65,403.4,23.8,66.0,67.7,55.8,85.6,2116.64
maize,7.4,447.7,23.7,59.6,167.4,43.2,25.1,4692.85
maize,6.1,878.2,28.2,55.1,163.2,69.3,40.3,5412.53
cotton,7.26,472.1,16.5,81.1,62.2,41.0,31.6,1080.82
sugarcane,6.89,1421.5,28.7,62.5,157.9,38.1,90.0,82275.02
sugarcane,5.9,1441.3,23.2,96.8,68.2,44.3,78.4,46524.15
maize,5.64,508.0,31.9,65.1,86.6,63.7,42.9,4081.14
sugarcane,6.83,1403.3,34.2,58.1,109.4,68.6,36.0,54973.77
wheat,6.15,570.2,15.2,68.9,113.1,76.0,50.4,3477.84
wheat,7.16,697.3,19.5,69.3,110.4,35.2,39.6,2410.55
cotton,7.44,588.0,23.3,75.5,151.5,57.9,74.9,2391.21
wheat,6.45,535.9,19.9,76.0,99.2,57.4,53.5,3233.17
rice,7.62,1699.8,31.6,76.3,80.1,51.5,66.1,3351.23
wheat,5.87,314.0,28.2,52.6,102.3,40.0,61.1,2620.94
maize,5.75,920.3,24.6,75.7,184.5,57.4,62.4,6267.64
cotton,6.5,629.0,24.3,80.7,170.5,50.4,61.4,2471.33
cotton,6.23,762.1,33.6,68.3,120.8,75.6,59.8,2738.13
maize,7.3,780.8,21.2,64.7,156.4,49.4,65.8,5663.44
cotton,6.45,560.9,25.4,76.2,168.4,52.1,31.1,2355.58
wheat,7.08,284.4,24.8,69.2,120.9,50.7,70.5,3572.19
maize,6.53,933.3,21.7,68.1,164.7,22.5,41.5,4567.15
rice,5.61,809.8,23.7,85.7,90.7,91.0,43.7,3178.16
rice,7.9,1721.7,34.7,81.4,88.1,59.9,54.9,3349.07
maize,6.48,682.0,28.8,81.4,113.1,71.6,32.2,4835.61
wheat,6.01,533.8,21.9,48.9,116.6,55.4,92.2,3496.64
maize,7.2,881.4,27.4,68.7,127.9,29.6,88.7,5636.79
wheat,6.19,393.9,14.4,30.0,134.3,43.1,73.2,3740.17
rice,6.67,1286.5,27.4,63.2,135.5,41.9,48.6,4195.39
cotton,5.93,546.5,23.2,40.9,93.2,57.9,58.5,1864.4
maize,6.67,580.3,18.9,53.6,118.6,46.6,69.0,4846.41
rice,6.94,1388.8,28.6,98.0,80.7,56.0,29.6,3244.68
sugarcane,5.47,1776.1,28.1,56.7,117.0,65.7,34.7,51816.38
rice,7.31,679.0,29.8,88.0,63.2,54.9,50.3,3464.5
sugarcane,6.29,2012.8,38.1,53.5,85.1,46.3,82.9,55592.05
rice,5.11,1240.9,29.4,82.9,137.8,59.6,35.5,3142.34
maize,6.66,845.8,27.5,90.2,78.9,47.1,29.3,3641.67
rice,5.92,1248.7,32.6,75.1,155.8,34.8,18.4,3331.69
cotton,6.03,810.8,32.7,48.7,20.0,64.1,30.4,1316.53
maize,7.15,709.2,26.1,50.0,95.1,46.6,82.1,4918.01
maize,7.3,655.8,27.4,60.4,73.0,44.3,36.5,4049.94
cotton,6.47,818.0,33.3,98.0,130.3,50.9,58.9,2139.42
sugarcane,5.72,1167.4,32.1,78.2,71.2,29.9,57.7,44387.95
rice,6.28,1174.5,29.9,61.6,140.0,42.0,39.3,4194.34
maize,7.45,978.2,30.0,62.0,124.1,44.6,36.9,4193.06
rice,7.44,969.7,27.6,75.3,92.2,59.0,82.5,4601.0
wheat,6.18,404.5,25.8,60.8,103.0,50.4,60.6,3199.21
maize,5.51,535.8,23.7,49.5,101.7,26.8,53.0,3581.4
wheat,6.44,600.6,18.3,78.5,116.9,50.7,72.8,3625.14
cotton,6.06,972.8,26.3,64.1,105.8,41.1,56.7,1733.91
cotton,7.16,453.7,23.3,53.1,143.3,75.8,52.9,2364.15
wheat,6.21,346.9,23.4,58.4,175.1,60.5,38.8,3491.84
cotton,6.79,769.9,30.9,98.0,46.6,32.6,84.5,1633.06
wheat,5.91,493.8,25.7,64.2,159.1,65.0,47.7,3497.64
cotton,8.12,655.4,28.6,75.7,111.5,75.5,42.5,1836.74
wheat,7.16,574.7,19.3,45.7,60.5,10.0,43.7,2408.21
sugarcane,8.34,1253.2,35.6,69.7,93.0,59.0,15.0,31875.47
rice,6.86,1204.9,26.3,65.3,79.0,49.8,57.1,3143.77
wheat,6.56,479.2,25.9,58.1,122.0,58.8,71.8,3446.16
wheat,6.26,567.6,26.4,80.6,100.6,29.0,15.0,2067.96
maize,7.39,1079.9,25.2,80.0,149.7,30.4,90.6,4647.5
rice,7.42,816.5,29.7,78.6,123.4,56.5,56.2,3969.89
rice,6.58,1198.0,28.6,41.7,90.8,46.7,58.2,3659.1
wheat,7.2,704.5,21.9,79.8,174.4,31.6,36.1,2976.78
rice,5.61,1366.2,25.7,37.8,162.4,53.2,53.4,3991.88
rice,6.42,946.4,25.6,62.0,111.7,42.1,26.7,3591.86
maize,5.42,629.1,29.9,90.6,66.8,34.3,54.5,2976.65
cotton,5.82,693.7,27.5,65.8,104.8,58.3,22.9,1651.61
sugarcane,5.34,1350.6,30.6,71.2,118.4,61.3,24.2,43113.33
cotton,6.59,735.6,22.3,69.7,133.0,36.2,76.2,2127.53
sugarcane,5.72,1207.8,31.2,74.9,143.6,12.2,51.6,45407.04
rice,4.83,1178.5,32.9,95.4,67.0,53.9,45.7,1872.87
wheat,6.97,582.6,21.0,53.7,50.9,65.6,44.1,2873.74
maize,6.13,761.4,24.6,95.6,110.7,56.8,59.3,4952.15
rice,8.88,938.9,22.6,95.1,136.0,48.4,82.3,2362.96
sugarcane,6.56,1530.0,33.1,77.0,129.4,46.6,51.1,65672.14
cotton,5.88,568.8,23.0,56.1,135.3,29.5,99.8,2051.66
sugarcane,7.4,1301.2,27.4,58.4,91.3,60.4,65.3,65503.28
sugarcane,6.93,1586.1,32.4,77.4,102.2,29.3,35.8,54638.81
cotton,6.13,659.8,24.4,63.7,43.7,48.8,55.0,1467.81
rice,6.5,845.5,30.6,57.4,71.4,56.5,49.4,3782.28
maize,6.64,698.7,26.7,84.8,95.8,20.1,41.0,3879.01
rice,7.86,1559.7,29.7,61.1,138.2,27.5,64.5,3622.06
cotton,6.87,608.7,27.9,43.2,85.7,37.6,44.5,1823.29
cotton,5.99,650.1,30.5,59.4,134.3,73.7,58.8,2596.57
wheat,6.94,529.1,19.3,70.1,147.4,48.4,72.2,4228.43
maize,7.2,729.4,27.6,66.6,119.3,34.5,15.0,3747.73
maize,6.92,885.5,24.3,59.5,104.1,48.6,41.8,4388.01
cotton,5.86,828.2,28.9,64.0,94.7,47.5,63.2,1883.79
cotton,6.55,835.6,29.3,56.3,100.0,50.9,15.0,1880.51
rice,7.04,965.3,32.6,66.9,133.5,25.7,23.9,3333.26
cotton,5.99,837.6,22.6,91.0,78.5,56.5,48.4,1765.48
maize,7.3,827.6,26.9,88.7,120.4,33.6,60.8,4593.98
rice,6.45,590.3,31.7,34.3,107.3,45.3,65.8,3690.64
cotton,7.59,602.9,20.4,63.4,94.5,39.0,59.6,1758.02
rice,7.07,1398.0,27.8,60.0,113.6,72.9,30.2,3716.79
maize,7.01,1048.7,27.4,78.8,154.2,48.2,24.0,4876.72
sugarcane,5.48,1218.0,30.6,45.0,103.8,74.9,55.4,58930.14
cotton,6.13,768.2,31.5,88.3,70.2,28.1,55.4,1560.15
cotton,7.71,537.9,24.4,50.4,101.8,53.4,74.7,1985.81
wheat,7.38,683.7,20.0,78.8,50.9,32.1,41.0,2416.23
rice,6.23,1306.2,31.9,59.4,186.6,10.9,43.7,3478.5
sugarcane,7.27,1437.5,27.6,73.6,110.4,48.3,87.3,62993.38
wheat,6.63,589.8,18.3,45.4,84.9,47.8,58.3,3162.07
cotton,6.97,786.3,34.1,54.1,128.4,42.8,53.2,2076.74
rice,7.86,1202.3,31.5,49.9,76.5,53.5,84.7,3635.47
cotton,7.03,651.0,30.8,50.2,85.7,25.5,64.4,1820.21
maize,6.01,627.3,29.5,65.0,109.7,56.1,15.0,4377.86
maize,7.59,659.9,18.5,82.1,86.0,59.2,15.6,3534.86
cotton,6.04,784.5,23.1,77.9,168.9,35.5,16.3,1969.22
cotton,6.04,814.1,31.5,63.9,159.4,37.7,47.8,1557.37
cotton,6.14,569.0,31.4,45.2,113.2,39.3,26.9,1562.94
maize,4.78,779.8,27.7,73.7,153.3,25.7,68.6,3092.99
maize,4.55,937.2,25.3,77.3,168.4,88.8,42.0,3452.5
sugarcane,5.99,1630.8,35.0,65.7,148.7,28.7,33.3,58991.98
sugarcane,5.39,1260.3,35.8,54.3,93.7,53.3,70.7,48763.06
cotton,7.62,439.2,25.3,71.2,173.1,51.9,64.6,2275.16
wheat,7.14,382.6,11.0,63.9,115.1,53.8,58.4,2845.56
wheat,8.0,923.2,22.4,65.4,128.7,61.0,48.6,2884.09
wheat,6.31,663.1,18.5,61.6,77.0,53.2,61.2,3001.72
sugarcane,6.6,1637.2,26.6,62.6,134.3,60.3,49.1,69172.34
cotton,6.78,634.7,32.8,73.1,114.6,28.8,92.6,2056.31
wheat,7.87,554.8,19.0,71.8,118.5,70.0,35.1,3027.28
rice,7.01,1502.8,23.8,82.2,110.2,69.4,50.9,4075.52
maize,5.66,852.3,24.4,62.1,108.1,40.7,47.7,3527.57
wheat,7.31,527.7,14.3,76.4,86.4,40.8,79.8,2760.69
maize,6.49,667.8,26.6,75.0,149.1,71.1,47.8,5533.41
sugarcane,6.39,1302.1,29.0,44.6,63.5,46.4,85.3,56285.32
rice,5.66,1343.6,26.2,68.5,123.7,89.2,69.9,4753.82
rice,6.03,1358.9,24.8,72.8,171.8,33.7,37.3,3758.83
rice,7.43,1503.4,23.5,81.0,132.9,17.3,50.7,3186.34
cotton,7.33,843.7,27.0,67.4,56.4,54.3,66.4,1816.82
cotton,7.13,884.3,24.3,77.8,109.1,82.9,38.3,2230.01
cotton,6.82,706.6,20.8,61.9,168.7,36.1,55.3,2181.7
wheat,7.98,614.8,16.2,77.1,147.1,54.2,53.5,3066.73
sugarcane,5.92,924.3,32.8,49.1,49.8,67.9,70.4,52433.52
maize,5.32,741.8,24.1,86.6,51.3,46.7,47.1,3149.34
sugarcane,7.35,2111.9,27.9,48.7,120.6,58.0,50.4,66403.34
sugarcane,6.83,1700.4,31.0,85.8,69.6,47.0,47.1,59698.97
maize,5.7,814.1,19.3,90.8,93.4,44.4,41.4,3211.38
maize,7.82,597.3,23.2,61.1,129.0,26.3,57.7,3907.83
cotton,7.55,646.5,36.4,40.2,140.0,29.4,45.1,1736.15
sugarcane,5.8,1068.3,33.8,68.1,147.3,10.0,27.0,42288.81
sugarcane,7.25,1585.2,32.7,76.5,182.0,24.6,64.5,63244.82
sugarcane,6.06,1863.8,20.0,62.2,131.7,52.4,84.2,63022.09
wheat,5.91,336.1,22.3,72.9,121.0,29.1,35.5,2504.27
rice,5.61,1400.0,28.5,59.7,84.2,32.4,57.3,3043.62
sugarcane,7.65,1309.1,32.5,79.1,162.1,35.7,42.6,55670.43
sugarcane,6.83,1708.8,26.9,69.2,77.6,49.6,37.1,49581.22
rice,5.89,1258.1,31.6,83.5,128.8,69.0,63.4,4863.84
maize,8.02,893.8,21.6,79.7,153.6,47.4,62.2,4545.45
maize,6.33,649.0,30.2,98.0,97.3,66.9,48.5,4774.97
wheat,6.41,662.9,22.0,68.6,116.7,34.9,51.1,2916.38
sugarcane,6.07,1423.8,33.8,88.9,79.0,71.2,45.9,57446.15
maize,6.47,847.7,27.3,72.3,160.6,20.0,57.1,4622.95
wheat,7.58,599.8,23.0,76.7,70.0,46.0,76.5,3164.87
sugarcane,7.7,1141.7,26.4,45.5,92.9,32.6,29.8,46991.52
rice,6.73,1485.3,25.4,73.6,173.3,41.1,38.0,4045.48
maize,6.87,565.7,29.8,80.0,182.7,70.6,51.7,5759.12
rice,6.54,1385.8,34.7,98.0,156.2,58.1,58.2,4257.13
cotton,5.36,638.9,32.7,75.0,104.5,68.5,69.8,1958.44
wheat,6.28,542.0,18.7,74.9,91.2,46.2,30.3,2986.01
maize,7.81,765.6,33.6,57.9,118.2,38.1,66.8,4198.56
maize,7.13,841.9,21.9,64.6,108.6,42.6,61.7,5071.37
cotton,5.76,776.9,34.0,76.8,147.5,81.4,74.3,2470.82
rice,6.13,1207.7,33.7,79.2,80.6,52.4,88.0,4383.92
maize,6.46,834.1,20.1,70.0,149.1,54.9,68.8,6321.09
maize,7.26,696.8,23.9,70.1,116.2,46.0,56.9,4576.48
wheat,7.46,752.2,22.3,55.7,179.5,35.4,48.3,3357.11
cotton,6.47,502.5,36.6,61.5,118.5,57.9,78.7,2285.92
rice,6.71,1441.3,22.9,83.6,81.7,42.3,73.6,3673.76
maize,6.9,698.8,25.3,71.0,78.7,62.9,60.8,5011.4
sugarcane,6.47,1314.3,32.4,72.3,86.7,41.8,41.8,51021.1
cotton,6.52,572.1,29.5,68.3,129.0,23.1,46.0,1995.19
cotton,6.28,705.4,30.7,60.2,95.5,28.3,54.4,1626.71
maize,7.55,792.3,26.9,53.1,69.2,45.3,26.5,3614.21
wheat,6.82,545.5,26.2,57.5,79.8,20.1,44.2,2092.17
rice,7.39,1420.4,27.6,79.3,152.8,47.5,31.3,3866.35
rice,8.07,1151.7,35.4,76.2,81.9,51.0,48.9,2750.81
cotton,6.9,312.2,28.2,86.8,113.3,76.1,49.7,2341.54
cotton,5.13,800.9,24.0,73.6,64.8,50.2,36.8,1059.1
sugarcane,7.19,1395.0,36.5,94.2,38.5,61.8,41.1,48373.96
rice,6.1,1192.4,33.1,70.7,91.4,53.7,33.0,3460.2
sugarcane,6.35,1600.9,32.2,73.3,157.4,57.4,52.2,70591.13
sugarcane,6.58,1195.3,27.3,58.7,120.2,41.6,15.0,43197.06
wheat,7.21,732.3,20.3,90.6,122.6,48.0,84.2,3568.61
rice,6.18,972.5,37.4,71.1,110.7,61.0,42.0,3561.69
cotton,7.11,616.5,30.9,78.6,87.3,24.8,85.6,1818.52
wheat,5.54,640.1,18.3,52.2,94.2,67.6,44.3,2878.55
wheat,6.8,378.7,20.8,71.0,103.0,56.4,77.4,3543.19
maize,7.67,770.7,23.2,51.1,127.7,48.5,68.9,4406.11
maize,6.17,612.5,31.5,91.2,33.2,46.7,50.0,3314.43
sugarcane,7.21,1862.3,28.6,64.8,52.6,37.9,74.9,48230.75
cotton,6.27,518.3,23.1,72.2,108.1,53.7,22.0,1718.85
rice,6.79,1431.3,26.2,60.2,87.3,38.8,77.1,3824.17
cotton,5.4,462.5,26.8,76.3,71.3,61.6,45.0,1422.37
rice,7.31,1322.8,27.5,73.8,73.9,44.3,61.4,3548.42
cotton,7.14,872.1,19.9,87.2,95.6,42.6,36.8,1591.47
maize,7.94,871.5,25.1,80.0,126.3,54.1,58.5,4279.74
sugarcane,7.66,1618.6,31.3,65.0,76.7,46.4,60.2,48566.78
sugarcane,6.28,1022.8,28.2,78.6,110.8,36.6,33.5,51588.3
rice,7.36,1132.2,28.7,86.6,64.9,19.9,43.3,2887.89
rice,6.8,1177.3,31.4,64.7,64.9,49.8,59.6,3293.2
sugarcane,6.05,823.8,32.6,65.4,121.8,80.2,54.5,63821.82
cotton,7.14,506.2,21.1,83.3,84.8,31.3,86.0,1757.17
cotton,7.32,868.4,31.3,52.7,87.7,11.6,86.9,1547.7
rice,5.37,1325.0,26.5,54.8,94.0,46.0,57.0,2645.81
rice,5.54,1330.4,35.1,68.3,117.9,57.5,29.6,3418.69
rice,6.45,1227.8,27.3,86.9,143.2,42.6,60.1,4372.46
rice,6.56,1554.7,22.2,70.0,46.4,58.7,53.1,3162.64
wheat,6.92,506.1,19.0,86.0,99.1,27.6,38.3,3104.22
rice,6.65,1165.9,33.5,83.2,125.5,24.3,40.7,3099.54
wheat,6.37,509.4,26.0,61.3,80.6,41.0,32.3,2490.14
maize,7.05,673.4,25.5,71.8,78.3,27.6,51.8,3830.73
maize,6.65,688.3,25.6,67.5,49.4,71.9,55.8,4640.73
maize,8.3,945.0,23.8,73.4,61.0,46.1,51.3,2600.7
